concept:city:saigon	concept:citycapitalofcountry	concept:country:west_indies
concept:governmentorganization:representatives	concept:atdate	concept:date:n1993
concept:stateorprovince:indiana	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:ohio
concept:country:bulgaria	concept:countryalsoknownas	concept:country:bosnia_herzegovina
concept:nongovorganization:council	concept:atdate	concept:food:pate
concept:city:internet	concept:atdate	concept:year:n1997
concept:ethnicgroup:united_arab_emirates	concept:synonymfor	concept:politicalparty:republic
concept:country:uganda	concept:atdate	concept:food:pate
concept:city:washington_d_c	concept:atdate	concept:date:n2001
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:hobart
concept:city:home	concept:atdate	concept:agriculturalproduct:flax
concept:stateorprovince:south_dakota	concept:statelocatedingeopoliticallocation	concept:country:us
concept:country:liberia	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:country:macedonia	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:republic_of_guatemala
concept:country:canada_canada	concept:countrylocatedingeopoliticallocation	concept:country:commonwealth_countries
concept:country:west_indies	concept:proxyfor	concept:lake:new
concept:university:administration	concept:atdate	concept:year:n1997
concept:city:lewiston	concept:atlocation	concept:stateorprovince:maine
concept:city:georgetown	concept:proxyfor	concept:country:guyana
concept:city:havana	concept:citylocatedincountry	concept:country:cuba
concept:book:new	concept:atlocation	concept:city:friend
concept:beverage:new	concept:atlocation	concept:museum:first_place
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:connecticut
concept:weapon:laboratory	concept:atdate	concept:agriculturalproduct:flax
concept:country:usa	concept:atdate	concept:food:pate
concept:person:iran	concept:atdate	concept:year:n1998
concept:county:philadelphia	concept:istallerthan	concept:publication:people_
concept:geopoliticallocation:ecuador	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:visualizablething:malt	concept:agentparticipatedinevent	concept:mlconference:universe
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:mongolia
concept:personmexico:ryan_whitney	concept:worksfor	concept:organization:republicans
concept:city:internet	concept:agentcompeteswithagent	concept:tradeunion:search
concept:city:tel_aviv	concept:citylocatedincountry	concept:country:israel
concept:stateorprovince:opole	concept:statelocatedingeopoliticallocation	concept:country:poland
concept:city:college_station	concept:locationlocatedwithinlocation	concept:stateorprovince:texas
concept:stateorprovince:north_dakota	concept:statelocatedingeopoliticallocation	concept:country:u_s_
concept:stateorprovince:montana	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:south_dakota
concept:biotechcompany:section	concept:agentcompeteswithagent	concept:tradeunion:search
concept:stateorprovince:new_york	concept:mutualproxyfor	concept:city:saratoga_springs
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:wielkopolskie
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:israel
concept:musicartist:town	concept:atdate	concept:dateliteral:n2008
concept:coach:ron_zook	concept:personbelongstoorganization	concept:city:florida
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:city:trade
concept:city:new_brunswick	concept:cityliesonriver	concept:retailstore:supermarket
concept:city:canton	concept:atlocation	concept:stateorprovince:georgia
concept:book:leader	concept:atdate	concept:dateliteral:n2006
concept:country:malta	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticallocation:gulf_coast
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:visualizablething:calgary
concept:country:cuba	concept:atdate	concept:dateliteral:n2006
concept:country:switzerland	concept:atdate	concept:dateliteral:n2008
concept:governmentorganization:agency	concept:organizationacronymhasname	concept:governmentorganization:u_s__department
concept:city:decatur	concept:atlocation	concept:stateorprovince:alabama
concept:city:yuma	concept:citylocatedinstate	concept:stateorprovince:arizona
concept:geopoliticalorganization:us_state	concept:subpartof	concept:room:house
concept:country:south_africa	concept:atdate	concept:dateliteral:n2006
concept:city:plano	concept:mutualproxyfor	concept:city:texas
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:honduras
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:rome
concept:skiarea:tennessee	concept:mutualproxyfor	concept:book:new
concept:website:market	concept:istallerthan	concept:publication:people_
concept:country:latvia	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:city:vancouver	concept:proxyfor	concept:lake:new
concept:country:greece	concept:countryalsoknownas	concept:country:republic
concept:publication:people_	concept:hasofficeincountry	concept:country:china
concept:disease:crohn	concept:mutualproxyfor	concept:city:rocklin
concept:country:republic	concept:countryalsoknownas	concept:country:portugal
concept:visualizablething:malt	concept:atdate	concept:year:n1920
concept:city:team	concept:agentcreated	concept:eventoutcome:more_contact
concept:wallitem:beginning	concept:atdate	concept:dateliteral:n2002
concept:country:kuwait	concept:countrylocatedingeopoliticallocation	concept:country:region
concept:city:washington_d_c	concept:mutualproxyfor	concept:stateorprovince:pennsylvania
concept:nongovorganization:council	concept:atdate	concept:year:n1997
concept:book:new	concept:mutualproxyfor	concept:eventoutcome:state
concept:coach:jersey	concept:agentactsinlocation	concept:stateorprovince:new_york
concept:governmentorganization:government	concept:atdate	concept:date:n1949
concept:country:eu_countries	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:city:dallas	concept:atdate	concept:skiarea:tennessee
concept:stateorprovince:indiana	concept:organizationhiredperson	concept:coach:kelvin_sampson
concept:city:waterbury	concept:subpartof	concept:stateorprovince:connecticut
concept:country:burkina	concept:atdate	concept:food:pate
concept:disease:crohn	concept:mutualproxyfor	concept:city:manteca
concept:city:home	concept:agentcreated	concept:scientificterm:information_contact
concept:disease:crohn	concept:mutualproxyfor	concept:city:rosemead
concept:country:myanmar_burma	concept:atdate	concept:food:pate
concept:city:new_orleans	concept:mutualproxyfor	concept:geopoliticalorganization:nagin
concept:country:tanzania	concept:countryalsoknownas	concept:country:republic
concept:geopoliticallocation:iraq	concept:atdate	concept:month:october
concept:city:vancouver	concept:proxyfor	concept:city:washington_d_c
concept:date:n1979	concept:proxyfor	concept:lake:new
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:panama_canal
concept:politicsblog:white_house	concept:atdate	concept:date:n2001
concept:country:south_africa	concept:atdate	concept:skiarea:tennessee
concept:country:senegal	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:city:lewiston	concept:cityliesonriver	concept:retailstore:supermarket
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:morocco
concept:musicartist:journal	concept:agentactsinlocation	concept:visualizablescene:ny
concept:lake:new	concept:locationlocatedwithinlocation	concept:river:adventure
concept:county:san_francisco	concept:proxyfor	concept:stadiumoreventvenue:warfield
concept:lake:new	concept:locationlocatedwithinlocation	concept:disease:infectious_diseases
concept:country:republic	concept:countryalsoknownas	concept:country:zambia
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:facility
concept:lake:new	concept:locationlocatedwithinlocation	concept:island:hell
concept:county:chicago	concept:organizationhiredperson	concept:coach:dick_jauron
concept:comedian:day	concept:atdate	concept:date:n2001
concept:governmentorganization:government	concept:agentcontrols	concept:transportation:money
concept:city:la_mesa	concept:mutualproxyfor	concept:disease:crohn
concept:country:tajikistan	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:country:greece	concept:countrycurrency	concept:currency:euros
concept:room:executive	concept:atdate	concept:food:pate
concept:lake:new	concept:locationlocatedwithinlocation	concept:park:n1
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:course
concept:visualizablething:malt	concept:atdate	concept:skiarea:tennessee
concept:country:__america	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:politicalparty:republic	concept:synonymfor	concept:person:iran
concept:stateorprovince:connecticut	concept:subpartof	concept:country:usa
concept:landscapefeatures:gulf	concept:proxyfor	concept:book:new
concept:country:italy	concept:atdate	concept:dateliteral:n1980
concept:country:barbados	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:city:area	concept:subpartof	concept:website:blood
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:deals
concept:weapon:course	concept:mutualproxyfor	concept:book:new
concept:city:team	concept:atdate	concept:year:n1989
concept:politicsblog:white_house	concept:proxyfor	concept:book:new
concept:lake:new	concept:locationlocatedwithinlocation	concept:park:borough
concept:country:us	concept:countryalsoknownas	concept:country:republic_of_kenya
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:chile
concept:city:bahamas	concept:atdate	concept:food:pate
concept:country:bahrain	concept:atdate	concept:food:pate
concept:city:cambridge	concept:proxyfor	concept:stateorprovince:ohio
concept:country:usa	concept:atdate	concept:year:n1998
concept:website:april_2006	concept:statehascapital	concept:city:springfield
concept:governmentorganization:united_nations	concept:atdate	concept:year:n1997
concept:stateorprovince:ns	concept:statelocatedincountry	concept:country:canada_canada
concept:city:ojai	concept:atlocation	concept:disease:crohn
concept:stateorprovince:maine	concept:stateorprovinceisborderedbystateorprovince	concept:disease:crohn
concept:country:britain	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:personmexico:ryan_whitney	concept:worksfor	concept:nongovorganization:gop
concept:country:kabul	concept:atdate	concept:dateliteral:n2006
concept:city:uk	concept:atdate	concept:date:n1976
concept:country:jordan	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:sportsteam:wichita_state_university	concept:mutualproxyfor	concept:city:winston_salem
concept:university:fairbanks	concept:mutualproxyfor	concept:disease:kidney_stones
concept:city:uk	concept:atdate	concept:dateliteral:n2006
concept:city:rio	concept:citylocatedincountry	concept:country:brazil
concept:biotechcompany:china	concept:hasofficeincountry	concept:country:korea
concept:stateorprovince:alabama	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:georgia
concept:city:florida	concept:organizationterminatedperson	concept:coach:steve_addazio
concept:country:czechoslovakia	concept:countryalsoknownas	concept:country:republic
concept:country:switzerland	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:destinations
concept:person:republican	concept:personhasresidenceingeopoliticallocation	concept:stateorprovince:iowa
concept:lake:new	concept:locationlocatedwithinlocation	concept:stateorprovince:international
concept:country:england	concept:atdate	concept:date:n1914
concept:book:amsterdam	concept:mutualproxyfor	concept:book:new
concept:country:senegal	concept:atdate	concept:agriculturalproduct:flax
concept:stateorprovince:southern_oregon	concept:stateorprovinceisborderedbystateorprovince	concept:disease:crohn
concept:coach:new	concept:subpartof	concept:city:texas
concept:lake:new	concept:locationlocatedwithinlocation	concept:street:role
concept:country:thailand	concept:atdate	concept:date:n2001
concept:city:team	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:country:kosovo	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:city:hawaii	concept:locationlocatedwithinlocation	concept:country:u_s_
concept:book:years	concept:atlocation	concept:website:east
concept:country:haiti	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticalorganization:northern_california
concept:island:new_york_city_metropolitan_area	concept:atdate	concept:dateliteral:n2005
concept:island:iceland	concept:atdate	concept:dateliteral:n2006
concept:governmentorganization:capitol	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:person:iran	concept:atdate	concept:dateliteral:n2008
concept:island:new_york_city_metropolitan_area	concept:atdate	concept:year:n1995
concept:academicfield:media	concept:academicprogramatuniversity	concept:university:college
concept:city:bloomington	concept:proxyfor	concept:stateorprovince:indiana
concept:stateorprovince:bielsko	concept:statelocatedingeopoliticallocation	concept:country:poland
concept:lake:new	concept:locationlocatedwithinlocation	concept:planet:result
concept:university:administration	concept:synonymfor	concept:museum:u_s__department
concept:geopoliticallocation:partners	concept:atdate	concept:date:n2001
concept:city:montgomery	concept:atlocation	concept:website:april_2006
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:georgia
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:island:philippine_islands
concept:country:nigeria	concept:atdate	concept:dateliteral:n2005
concept:stateorprovince:products	concept:atdate	concept:dateliteral:n2005
concept:sportsteam:wichita_state_university	concept:atdate	concept:dateliteral:n2005
concept:country:norway	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:destinations
concept:lake:new	concept:locationlocatedwithinlocation	concept:park:league
concept:country:france_france	concept:atdate	concept:date:n1914
concept:country:china	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:producers
concept:geopoliticallocation:wayne	concept:subpartof	concept:bridge:new_jersey
concept:city:murfreesboro	concept:locationlocatedwithinlocation	concept:stateorprovince:tennessee
concept:stateorprovince:south_carolina	concept:mutualproxyfor	concept:city:charleston
concept:country:korea	concept:countryalsoknownas	concept:country:us
concept:celebrity:venice	concept:subpartof	concept:city:florida
concept:country:central_african_republic	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:governmentorganization:department	concept:atdate	concept:dateliteral:n2005
concept:country:uzbekistan	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:governmentorganization:governments	concept:istallerthan	concept:publication:people_
concept:visualizablething:full_days	concept:proxyfor	concept:book:new
concept:country:czech_republic	concept:countrylocatedingeopoliticallocation	concept:country:poland
concept:country:west_indies	concept:atdate	concept:dateliteral:n2002
concept:disease:crohn	concept:mutualproxyfor	concept:city:wrightwood
concept:city:beijing	concept:proxyfor	concept:country:china
concept:country:mongolia	concept:atdate	concept:year:n1998
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:north_moravia
concept:university:administration	concept:atdate	concept:dateliteral:n2006
concept:lake:new	concept:locationlocatedwithinlocation	concept:trainstation:door
concept:river:dinner	concept:atdate	concept:agriculturalproduct:flax
concept:city:petersburg	concept:mutualproxyfor	concept:stateorprovince:virginia
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:sk
concept:book:new	concept:mutualproxyfor	concept:book:home_town
concept:geopoliticallocation:partners	concept:proxyfor	concept:book:new
concept:city:pullman	concept:subpartof	concept:city:washington_d_c
concept:personus:thomas_jefferson	concept:agentcollaborateswithagent	concept:city:bush
concept:city:decatur	concept:subpartof	concept:stateorprovince:alabama
concept:lake:new	concept:locationlocatedwithinlocation	concept:geopoliticallocation:latin_america
concept:beverage:new	concept:atlocation	concept:attraction:mouth
concept:city:london_city	concept:atdate	concept:year:n1854
concept:governmentorganization:department	concept:mutualproxyfor	concept:researchproject:engineering
concept:person:john003	concept:persongraduatedfromuniversity	concept:university:college
concept:city:fresno	concept:citylocatedinstate	concept:disease:crohn
concept:city:barcelona	concept:atdate	concept:dateliteral:n2008
concept:island:head	concept:atdate	concept:year:n1997
concept:city:augusta	concept:citylocatedinstate	concept:stateorprovince:virginia
concept:city:fort_collins_loveland	concept:agentcompeteswithagent	concept:radiostation:nevada
concept:stateorprovince:contrast	concept:proxyfor	concept:book:new
concept:city:vancouver	concept:proxyfor	concept:stadiumoreventvenue:bc_place_stadium
concept:country:gambia	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:disease:crohn	concept:mutualproxyfor	concept:city:carlsbad
concept:stateorprovince:general_motors	concept:agentcollaborateswithagent	concept:personus:roger_smith
concept:stateorprovince:michigan	concept:mutualproxyfor	concept:county:traverse_city
concept:disease:crohn	concept:mutualproxyfor	concept:city:orange
concept:lake:new	concept:locationlocatedwithinlocation	concept:country:west_indies
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:albany
concept:city:home	concept:atdate	concept:date:november_2007
concept:city:vancouver	concept:cityliesonriver	concept:attraction:grand
concept:visualizablething:malt	concept:agentparticipatedinevent	concept:agriculturalproduct:rolls
concept:professor:john_howard	concept:personleadsorganization	concept:country:australia
concept:year:start	concept:mutualproxyfor	concept:book:new
concept:country:career	concept:atdate	concept:dateliteral:n2006
concept:disease:hemophilia	concept:atdate	concept:year:n1970
concept:country:republic_of_angola	concept:countrylocatedingeopoliticallocation	concept:country:southern_africa
concept:city:washington_d_c	concept:mutualproxyfor	concept:profession:spokane
concept:geopoliticalorganization:eastern	concept:agentactsinlocation	concept:continent:africa
concept:lake:new	concept:locationlocatedwithinlocation	concept:geopoliticallocation:u_s__state
concept:stadiumoreventvenue:post_gazette_pavilion_at_star_lake	concept:atlocation	concept:city:pittsburgh
concept:city:washington_d_c	concept:agentcompeteswithagent	concept:company:post
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:berlin
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:county:atlanta
concept:lake:new	concept:locationlocatedwithinlocation	concept:bridge:ship
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:island:senegal
concept:city:geneva	concept:citylocatedincountry	concept:country:switzerland
concept:city:fairchild_air_force_base	concept:organizationheadquarteredincountry	concept:country:us
concept:personmexico:ryan_whitney	concept:worksfor	concept:musicartist:policy
concept:county:families	concept:atdate	concept:skiarea:tennessee
concept:country:honduras	concept:locationlocatedwithinlocation	concept:country:countries
concept:building:houses	concept:atdate	concept:food:pate
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:tampa_bay
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:island:iceland
concept:eventoutcome:presence	concept:atdate	concept:food:pate
concept:stateorprovince:wisconsin	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:south_dakota
concept:musicalbum:destination	concept:proxyfor	concept:weatherphenomenon:new
concept:lake:new	concept:locationlocatedwithinlocation	concept:planet:reasons
concept:country:party	concept:atdate	concept:agriculturalproduct:flax
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticallocation:mid
concept:lake:new	concept:locationlocatedwithinlocation	concept:room:house
concept:country:zambia	concept:atdate	concept:food:pate
concept:beverage:new	concept:atlocation	concept:skyscraper:asia
concept:city:berlin	concept:citycapitalofcountry	concept:country:prussia
concept:governmentorganization:courts	concept:organizationheadquarteredincountry	concept:country:u_s_
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:lake:great_lakes
concept:mountain:fox	concept:agentcontrols	concept:website:kttv
concept:fruit:soyabean	concept:countryalsoknownas	concept:country:south_africa
concept:visualizablescene:brussels	concept:atdate	concept:year:n1992
concept:coach:philip_fulmer	concept:personbelongstoorganization	concept:stateorprovince:tennessee
concept:actor:van_andel_arena	concept:countrycurrency	concept:currency:won
concept:city:washington_d_c	concept:atlocation	concept:county:utah
concept:governmentorganization:house	concept:atdate	concept:food:pate
concept:country:yemen	concept:countrylocatedingeopoliticallocation	concept:country:middle
concept:website:april_2006	concept:mutualproxyfor	concept:city:elgin
concept:geometricshape:bolivia	concept:atdate	concept:dateliteral:n2008
concept:stateorprovince:podlaskie	concept:locationlocatedwithinlocation	concept:country:poland
concept:stateorprovince:indiana	concept:statelocatedingeopoliticallocation	concept:country:u_s_
concept:lake:new	concept:proxyfor	concept:sportsgame:million_years
concept:governmentorganization:house	concept:atdate	concept:month:october
concept:vehicle:services	concept:subpartof	concept:musicalbum:us
concept:country:germany	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:county:glasgow	concept:atlocation	concept:skiarea:kentucky
concept:date:services	concept:proxyfor	concept:beverage:new
concept:website:province	concept:atdate	concept:dateliteral:n2005
concept:musicalbum:tennessee	concept:atdate	concept:year:n1863
concept:university:fairbanks	concept:atlocation	concept:disease:kidney_stones
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:mexico
concept:shoppingmall:columbia	concept:atlocation	concept:city:washington_d_c
concept:city:washington_d_c	concept:atdate	concept:year:n1998
concept:personmexico:ryan_whitney	concept:personleadsorganization	concept:nongovorganization:republican_senators
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:new_orleans
concept:city:fredericksburg	concept:atlocation	concept:stateorprovince:virginia
concept:island:syria	concept:atdate	concept:dateliteral:n2006
concept:book:years	concept:atlocation	concept:website:south
concept:city:service	concept:atdate	concept:year:n1975
concept:wallitem:beginning	concept:atdate	concept:year:n1997
concept:lake:new	concept:locationlocatedwithinlocation	concept:building:destination
concept:building:america	concept:locationlocatedwithinlocation	concept:planet:eastern
concept:building:bc_place	concept:buildinglocatedincity	concept:city:vancouver
concept:geopoliticallocation:offer	concept:istallerthan	concept:publication:people_
concept:book:new	concept:atlocation	concept:county:student
concept:country:england	concept:atdate	concept:date:n2001
concept:city:american_city	concept:proxyfor	concept:lake:new
concept:disease:crohn	concept:mutualproxyfor	concept:city:elk_grove
concept:stateorprovince:un	concept:organizationacronymhasname	concept:governmentorganization:united_nations
concept:city:budapest	concept:atdate	concept:dateliteral:n2005
concept:island:senegal	concept:atdate	concept:date:n2001
concept:city:decatur	concept:proxyfor	concept:stateorprovince:alabama
concept:person:antoinette_batumubwira	concept:personleadsorganization	concept:country:burundi
concept:website:developers	concept:proxyfor	concept:book:new
concept:coach:new	concept:subpartof	concept:county:manhattan
concept:tradeunion:congress	concept:atdate	concept:date:n2001
concept:mountain:fox	concept:agentcontrols	concept:website:kcba
concept:country:england	concept:atdate	concept:skiarea:tennessee
concept:city:watsonville	concept:mutualproxyfor	concept:disease:crohn
concept:country:republic_of_seychelles	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:lake:new	concept:locationlocatedwithinlocation	concept:country:great_britain
concept:book:years	concept:atlocation	concept:geopoliticalorganization:northern
concept:county:las_vegas	concept:atdate	concept:dateliteral:n2008
concept:lake:new	concept:locationlocatedwithinlocation	concept:lake:great_lakes
concept:country:thailand	concept:mutualproxyfor	concept:city:bangkok
concept:city:pittsburgh	concept:proxyfor	concept:stadiumoreventvenue:post_gazette_pavilion_at_star_lake
concept:country:republic	concept:countryalsoknownas	concept:country:hong_kong
concept:country:korea	concept:organizationterminatedperson	concept:personasia:lee_won_jong
concept:book:new	concept:atlocation	concept:planet:face
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:reason
concept:personmexico:ryan_whitney	concept:personleadsorganization	concept:governmentorganization:defense_department
concept:beverage:new	concept:atlocation	concept:shoppingmall:columbia
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:connecticut
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:governmentorganization:services
concept:monument:cedar_city	concept:locationlocatedwithinlocation	concept:county:utah
concept:stateorprovince:connecticut	concept:mutualproxyfor	concept:city:meriden
concept:book:new	concept:mutualproxyfor	concept:comedian:day
concept:eventoutcome:amount	concept:atdate	concept:dateliteral:n2008
concept:city:vienna	concept:atdate	concept:year:n1997
concept:room:ownership	concept:atdate	concept:agriculturalproduct:flax
concept:county:las_vegas	concept:mutualproxyfor	concept:politician:carolyn_goodman
concept:country:england	concept:proxyfor	concept:lake:new
concept:nongovorganization:council	concept:atdate	concept:year:n1998
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:opolskie
concept:building:west	concept:atlocation	concept:continent:africa
concept:stateorprovince:connecticut	concept:mutualproxyfor	concept:county:new_london
concept:governmentorganization:government	concept:atdate	concept:dateliteral:n1918
concept:country:germany	concept:countrylocatedingeopoliticallocation	concept:country:eu_countries
concept:city:washington_d_c	concept:istallerthan	concept:visualizablething:malt
concept:city:baghdad	concept:atdate	concept:dateliteral:n2005
concept:filmfestival:eight	concept:mutualproxyfor	concept:room:house
concept:country:norway	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:producers
concept:city:united_kingdom	concept:atdate	concept:dateliteral:n2005
concept:country:career	concept:atdate	concept:skiarea:tennessee
concept:city:bangkok	concept:citylocatedincountry	concept:country:thailand
concept:stateorprovince:oregon	concept:stateorprovinceisborderedbystateorprovince	concept:disease:crohn
concept:country:cayman_islands	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:country:belarus	concept:countryalsoknownas	concept:country:soviet_union
concept:city:canberra_canberra	concept:atdate	concept:dateliteral:n2006
concept:city:uk	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:airport:europe	concept:synonymfor	concept:politicalparty:republic
concept:geopoliticallocation:form	concept:atdate	concept:date:n2001
concept:river:olentangy	concept:locationlocatedwithinlocation	concept:skyscraper:asia
concept:landscapefeatures:point	concept:subpartof	concept:bridge:new_jersey
concept:island:operations	concept:atdate	concept:year:n1992
concept:country:bosnia_herzegovina	concept:locationlocatedwithinlocation	concept:country:countries
concept:city:valencia	concept:citylocatedincountry	concept:country:spain
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:barcelona
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:norway
concept:city:internet	concept:atdate	concept:year:n1995
concept:website:wtvw	concept:subpartof	concept:mountain:fox
concept:city:texas	concept:mutualproxyfor	concept:city:port_arthur
concept:city:florida	concept:organizationhiredperson	concept:coach:billy_donovan
concept:website:plus	concept:proxyfor	concept:book:new
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:country:italy
concept:university:administration	concept:atdate	concept:dateliteral:n2008
concept:geopoliticallocation:sterling_heights	concept:proxyfor	concept:stateorprovince:michigan
concept:coach:new	concept:agentactsinlocation	concept:island:guinea
concept:country:zambia	concept:synonymfor	concept:geopoliticalorganization:northern_rhodesia
concept:lake:new	concept:locationlocatedwithinlocation	concept:hotel:north
concept:country:baltic_states	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:city:boston	concept:locationlocatedwithinlocation	concept:geopoliticallocation:world
concept:visualizablething:malt	concept:atdate	concept:dateliteral:n2008
concept:stateorprovince:south_dakota	concept:proxyfor	concept:lake:new
concept:book:new	concept:mutualproxyfor	concept:book:north
concept:island:new_york_city_metropolitan_area	concept:locationlocatedwithinlocation	concept:stateorprovince:new_york
concept:country:pakistan	concept:countrylocatedingeopoliticallocation	concept:continent:asia
concept:disease:crohn	concept:mutualproxyfor	concept:city:livermore
concept:coach:jim_watson	concept:personleadsgeopoliticalorganization	concept:city:ottawa
concept:county:paris	concept:atdate	concept:agriculturalproduct:flax
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:belarus
concept:book:new	concept:mutualproxyfor	concept:wallitem:beginning
concept:city:new_orleans	concept:locationlocatedwithinlocation	concept:stateorprovince:louisiana
concept:book:new	concept:atlocation	concept:island:hell
concept:country:thailand	concept:countrylocatedingeopoliticallocation	concept:politicalparty:other_countries
concept:room:south	concept:atlocation	concept:country:republic_of_india
concept:book:new	concept:mutualproxyfor	concept:bathroomitem:industry
concept:city:singapore	concept:atdate	concept:dateliteral:n2008
concept:country:ukraine	concept:atdate	concept:year:n1998
concept:beverage:new	concept:atlocation	concept:website:south
concept:book:new	concept:mutualproxyfor	concept:sportsteamposition:application
concept:country:bahamas	concept:countrycurrency	concept:currency:dollars
concept:governmentorganization:european_union	concept:atdate	concept:food:pate
concept:lake:new	concept:locationlocatedwithinlocation	concept:geopoliticallocation:producers
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:holiday
concept:mountain:fox	concept:agentcontrols	concept:physiologicalcondition:hbv
concept:country:comoros	concept:countrylocatedingeopoliticallocation	concept:continent:africa
concept:country:tanzania	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:country:saudis	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:lake:new	concept:locationlocatedwithinlocation	concept:blog:bastion
concept:university:search	concept:agentcompeteswithagent	concept:sportsteam:philies
concept:dateliteral:n2002	concept:proxyfor	concept:city:florida
concept:city:team	concept:agentcreated	concept:website:phone
concept:city:new_orleans	concept:atdate	concept:year:n1815
concept:geopoliticallocation:agencies	concept:atdate	concept:year:n1997
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:jordan
concept:stateorprovince:munich	concept:proxyfor	concept:fruit:bavarian
concept:city:home	concept:atdate	concept:date:feb_
concept:county:utah	concept:locationlocatedwithinlocation	concept:disease:hemophilia
concept:city:washington_d_c	concept:istallerthan	concept:city:sisters
concept:city:montreal	concept:atdate	concept:dateliteral:n2002
